GRADATION,AGGREGATE SOURCE,BINDER TYPE,DESIGN AGGREGATE GRADATION,AV,COMPACTION,PERMANENT STRAIN (%),CTINDEX,Gmb,AV,VMA,VFB
19,10,822,5.58,7.243,35,2.362,47.675,2.353,7.243,18.011,59.787
19,10,822,5.58,5.982,50,1.976,50.025,2.375,5.982,16.897,64.597
19,10,822,5.58,4.003,75,1.644,41.935,2.425,4.003,15.148,73.576
19,10,822,5.58,3.449,90,1.161,34.315,2.439,3.449,14.658,76.475
19,10,822,5.58,3.262,110,0.958,37.28,2.442,3.262,14.493,77.492
19,10,822,6.16,6.85,35,2.867,56.255,2.342,6.85,18.056,62.059
19,10,822,6.16,5.057,50,2.256,49.82,2.387,5.057,16.478,69.311
19,10,822,6.16,3.884,75,1.88,51.775,2.416,3.884,15.446,74.853
19,10,822,6.16,3.701,90,1.67,44.42,2.421,3.701,15.285,75.786
19,10,822,6.16,2.399,110,1.371,33.23,2.454,2.399,14.14,83.044
19,10,822,5.05,6.782,35,2.04,37.385,2.381,6.782,16.691,59.366
19,10,822,5.05,5.716,50,1.52,32.345,2.409,5.716,15.738,63.682
19,10,822,5.05,3.977,75,1.291,21.235,2.452,3.977,14.184,71.961
19,10,822,5.05,3.414,90,1.067,28.23,2.467,3.414,13.681,75.043
19,10,822,5.05,2.797,110,0.967,16.515,2.483,2.797,13.13,78.695
19,10,822,5.11,6.825,35,2.155,44.525,2.37,6.825,17.055,59.983
19,10,822,5.11,5.451,50,1.439,38.275,2.405,5.451,15.832,65.572
19,10,822,5.11,3.989,75,1.325,34.875,2.443,3.989,14.531,72.546
19,10,822,5.11,3.429,90,1.1,28.185,2.457,3.429,14.032,75.564
19,10,822,5.11,2.816,110,0.996,18.91,2.472,2.816,13.486,79.123
19,10,822,6.23,6.854,35,3.344,72.345,2.336,6.854,18.255,62.452
19,10,822,6.23,5.554,50,2.526,62.05,2.369,5.554,17.113,67.548
19,10,822,6.23,3.944,75,1.837,57.225,2.409,3.944,15.7,74.881
19,10,822,6.23,3.21,90,1.782,48.685,2.427,3.21,15.057,78.677
19,10,822,6.23,2.886,110,1.71,41.195,2.436,2.886,14.772,80.47
19,10,1415,5.58,6.387,35,2.194,64.78,2.343,6.387,17.735,63.988
19,10,1415,5.58,5.493,50,1.81,54.385,2.376,5.493,16.949,67.594
19,10,1415,5.58,4.028,75,1.619,51.63,2.413,4.028,15.662,74.284
19,10,1415,5.58,3.706,90,0.819,41.58,2.421,3.706,15.379,75.922
19,10,1415,5.58,1.929,110,0.729,44.82,2.465,1.929,13.817,86.038
19,10,1415,6.16,6.857,35,2.777,82.77,2.33,6.857,18.539,63.012
19,10,1415,6.16,6.04,50,2.21,64.695,2.351,6.04,17.824,66.115
19,10,1415,6.16,3.911,75,1.73,67.925,2.404,3.911,15.962,75.502
19,10,1415,6.16,3.501,90,1.433,51.99,2.414,3.501,15.603,77.565
19,10,1415,6.16,2.884,110,1.173,33.645,2.43,2.884,15.064,80.857
19,10,1415,5.05,7.189,35,1.559,51.98,2.364,7.189,17.336,58.535
19,10,1415,5.05,5.239,50,1.077,41.85,2.415,5.239,15.6,66.42
19,10,1415,5.05,4.047,75,0.78,38.36,2.445,4.047,14.538,72.161
19,10,1415,5.05,3.861,90,0.739,29.375,2.449,3.861,14.373,73.134
19,10,1415,5.05,2.825,110,0.677,21.175,2.476,2.825,13.45,78.997
19,10,1415,5.11,6.826,35,2.069,47.985,2.36,6.826,17.371,60.711
19,10,1415,5.11,6.009,50,1.655,46.68,2.384,6.009,16.647,63.921
19,10,1415,5.11,4.111,75,0.961,42.34,2.433,4.111,14.964,72.525
19,10,1415,5.11,3.039,90,0.88,34.33,2.46,3.039,14.013,78.313
19,10,1415,5.11,3.648,110,0.754,26.305,2.443,3.648,14.553,74.936
19,10,1415,6.23,6.926,35,3.172,73.84,2.318,6.926,18.957,63.466
19,10,1415,6.23,5.201,50,2.496,81.74,2.362,5.201,17.455,70.206
